direction,stop_seq,dwell_sx
0,1,32.217171717171716
0,2,32.48737373737374
0,3,32.13383838383838
0,4,32.138888888888886
0,5,32.64393939393939
0,6,32.06439393939394
0,7,32.44191919191919
0,8,32.74368686868687
0,9,32.98106060606061
0,10,46.92424242424242
0,11,46.18181818181818
0,12,46.07575757575758
0,13,46.494949494949495
0,14,46.56818181818182
0,15,46.65909090909091
0,16,32.98989898989899
0,17,32.400252525252526
0,18,32.78914141414141
0,19,32.51262626262626
0,20,32.54040404040404
0,21,32.53030303030303
0,22,32.55808080808081
0,23,32.11868686868687
1,1,32.04419191919192
1,2,32.3270202020202
1,3,32.52651515151515
1,4,32.74116161616162
1,5,32.47727272727273
1,6,32.946969696969695
1,7,32.17929292929293
1,8,32.801767676767675
1,9,46.42550505050505
1,10,46.167929292929294
1,11,46.648989898989896
1,12,46.785353535353536
1,13,45.84469696969697
1,14,46.50757575757576
1,15,32.38636363636363
1,16,32.801767676767675
1,17,32.53030303030303
1,18,32.15277777777778
1,19,32.98989898989899
1,20,32.52272727272727
1,21,32.60858585858586
1,22,32.39393939393939
1,23,32.60353535353536
